,Lead Total After 1984 (ug/L),Cadmium Total (ug/L),Copper Total (ug/L),Nickel Total (ug/L),Chromium Total (ug/L),Copper Filtered (ug/L),Zinc Filtered (ug/L),Lead Filtered After 1984 (ug/L),Zinc Total (ug/L),Chromium Filtered (ug/L),Arsenic Total (ug/L),Nickel Filtered (ug/L),Cadmium Filtered (ug/L),"Iron, Total as Fe (ug/L)",COD as O2 (mg/L),Arsenic Filtered (ug/L),Silver Filtered (ug/L),Silver Total (ug/L),Selenium  Filtered (ug/L),Selenium  Total (ug/L),Nitrogen Kjeldahl Total (mg/L),"Iron, Filtered as Fe (ug/L)",Antimony  Filtered (ug/L),Beryllium Total (ug/L),Antimony  Total (ug/L),"Barium, total as Ba (ug/L)",Thallium Filtered (ug/L),Thallium Total (ug/L),pH,Ammonia (mg/L),Mercury Filtered (ug/L),Mercury Total (ug/L),Nitrogen_Nitrate (mg/L as N) ,Nitrogen_Nitrite (mg/L as N),TSS (mg/L),Turbidity_NTU,Phosphorous Total as P (mg/L),Total_Organic_Carbon_as_Carbon  (mg/L),TDS_mg/L,Conductivity (uS/cm @25ºC),"Alkalinity, total as CaCO3 (mg/L)",Phosphorous Filtered as P (mg/L),Chloride (mg/L),Beryllium Filtered (ug/L),Station_Name,year,date,NAME10
42,57.4,<1,67,11.4,12.5,5.9,172,<5,713,<5,<5,7.2,<1,3390,63.9,<5,<1,<1,<5,<5,4.52,<100,<5,<1,<5,188,<5,<5,7.76,<0.1,<1,<1,0.506,0.119,170,79.0,0.36,,424,756,65.7,0.26,170,<1,Santa_Monica_Pier_Drain_at_Appian_Way,1999,1999-02-09,"Los Angeles--Long Beach--Anaheim, CA"
43,<5,<1,37,<5,<5,15.1,111,<5,158,<5,<5,<5,<1,846,180,<5,<1,<1,<5,<5,10,165,<5,<1,<5,56.6,<5,<5,8.16,8.08,<1,<1,0.549,0.514,24,15.4,0.432,8.5,680,1185,162.0,0.367,203,<1,Santa_Monica_Pier_Drain_at_Appian_Way,1999,1999-03-08,"Los Angeles--Long Beach--Anaheim, CA"
44,<5,<1,19.4,<5,<5,12.2,112,<5,117,<5,<5,<5,<1,<100,128,<5,<1,<1,<5,<5,3.6,<100,<5,<1,<5,40.7,<5,<5,7.49,2.5,<1,<1,0.571,0.283,53,30.0,0.173,9.05,254,450,64.7,0.159,62.3,<1,Santa_Monica_Pier_Drain_at_Appian_Way,1999,1999-03-15,"Los Angeles--Long Beach--Anaheim, CA"
45,<5,<1,17.9,<5,<5,14.5,133,<5,147,<5,<5,<5,<1,337,71.2,<5,<1,<1,<5,<5,13.56,210,<5,<1,<5,75.2,<5,<5,7.84,12.2,<1,<1,0.415,<0.1,24,12.5,0.96,9.3,598,1076,147.0,0.89,185,<1,Santa_Monica_Pier_Drain_at_Appian_Way,1999,1999-03-22,"Los Angeles--Long Beach--Anaheim, CA"
46,<5,<1,23,<5,6.4,8,109,<5,213,<5,<5,<5,<1,1570,30.6,<5,<1,<1,<5,<5,1.39,359,<5,<1,<5,75.6,<5,<5,7.14,<0.1,<1,<1,0.368,0.06,51,27.5,0.25,4.2,174,306,39.2,0.23,31,<1,Santa_Monica_Pier_Drain_at_Appian_Way,1999,1999-03-26,"Los Angeles--Long Beach--Anaheim, CA"
47,<5,<1,14.2,<5,<5,9.4,160,<5,188,<5,<5,<5,<1,105,37.1,<5,<1,<1,<5,<5,2.2,<100,<5,<1,<5,39.8,<5,<5,7.15,<0.1,<1,<1,0.96,<0.1,76,47.7,0.191,7,152,250,39.2,0.173,29.2,<1,Santa_Monica_Pier_Drain_at_Appian_Way,1999,1999-04-06,"Los Angeles--Long Beach--Anaheim, CA"
48,<5,1.4,13.6,6.45,<5,7.4,115,<5,157,<5,<5,<5,<1,126,29.2,<5,<1,<1,<5,<5,0.738,<100,<5,<1,<5,24.9,<5,<5,6.74,<0.1,<1,<1,0.305,<0.1,14,14.2,0.126,6.4,94,167,26.5,0.083,15.8,<1,Santa_Monica_Pier_Drain_at_Appian_Way,1999,1999-04-11,"Los Angeles--Long Beach--Anaheim, CA"
49,<5,<1,53,<5,<5,29,210,<5,270,<5,<5,<5,<1,<100,102,<5,<1,<1,<5,<5,1.29,,<5,<1,<5,<10,<5,<5,7.28,<0.1,<1,<1,0.208,<0.1,46,7.2,,<1,366,543,112.0,,45.6,<1,LA_Drain_D-2361_Grand_Ave_and_21st_St,1995,1995-01-18,"Los Angeles--Long Beach--Anaheim, CA"
50,10,<1,32,<5,<5,22,230,<5,240,<5,<5,<5,<1,870,98.6,<5,<1,<1,<5,<5,1.53,,<5,<1,<5,<10,<5,<5,7.95,0.25,<1,<1,0.292,<0.1,29,5.6,1.04,32,516,720,177.0,0.93,64.5,<1,LA_Drain_D-2361_Grand_Ave_and_21st_St,1995,1995-01-31,"Los Angeles--Long Beach--Anaheim, CA"
51,<5,<1,25,<5,<5,<5,<50,<5,60,<5,<5,<5,<1,2000,<5,<5,<1,<1,<5,<5,1.92,1550,<5,<1,<5,<10,<5,<5,7.71,0.27,<1,<1,0.273,<0.1,13,8.7,1.62,37.68,428,656,203.0,1.51,66.3,<1,LA_Drain_D-2361_Grand_Ave_and_21st_St,1995,1995-10-31,"Los Angeles--Long Beach--Anaheim, CA"
